,항목명,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드
1847,      기타포괄손익-공정가치측정 지분상품 평가손익,S&TC,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments
1848,   후속적으로 당기손익으로 재분류되지 않는 항목,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
1849,금융비용,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_FinanceCosts
1850,기타비용,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses
1851,대손상각비,디스플레이텍,코스닥시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,entity00371740
1852,      계속영업이익(손실),두산중공업,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations
1853,      계속영업이익(손실),두산중공업,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations
1854,      중단영업이익(손실),두산중공업,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations
1855,      중단영업이익(손실),두산중공업,유가증권시장상장법인,291,일반 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations
1856,   비지배지분에 귀속되는 당기순이익(손실),APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossAttributableToNoncontrollingInterests
1857,   지배기업의 소유주에게 귀속되는 당기순이익(손실),APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossAttributableToOwnersOfParent
1858,"   총 포괄손익, 비지배지분",APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1859,"   총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",APS홀딩스,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
1860,      기타포괄손익-공정가치금융자산평가손익,CSA 코스믹,코스닥시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments
1861,연구개발비,디아이,유가증권시장상장법인,272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",12,2020-03-31,1분기보고서,KRW,entity00118275
1862,지분법손익,KTis,유가증권시장상장법인,639,기타 정보 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1863,      기타포괄손익관련 법인세효과,디아이씨,유가증권시장상장법인,303,자동차 신품 부품 제조업,12,2020-03-31,1분기보고서,KRW,entity00112165
1864,      기타포괄손익관련 법인세효과,디아이씨,유가증권시장상장법인,303,자동차 신품 부품 제조업,12,2020-03-31,1분기보고서,KRW,entity00112165
1865,      법인세 효과,디바이스이엔지,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLoss
1866,      파생상품금융손익,디아이씨,유가증권시장상장법인,303,자동차 신품 부품 제조업,12,2020-03-31,1분기보고서,KRW,entity00112165
1867,      현금흐름위험회피 파생상품평가손실,디아이씨,유가증권시장상장법인,303,자동차 신품 부품 제조업,12,2020-03-31,1분기보고서,KRW,entity00112165
1868,   대손상각비(환입),S&T모티브,유가증권시장상장법인,303,자동차 신품 부품 제조업,12,2020-03-31,1분기보고서,KRW,dart_BadDebtExpenses
1869,지분법 손실,디아이티,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00576798
1870,   금융원가,에스엔유,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_GainsOnForeignExchangeTranslationsFinancialIncome
1871,   기타영업외비용,대한제분,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialExpenses
1872,기타포괄이익,SBI핀테크솔루션즈,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,3,2020-06-30,1분기보고서,JPY,ifrs-full_OtherComprehensiveIncome
1873,지분법손익,KTis,유가증권시장상장법인,639,기타 정보 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1874,대손상각비,디에스케이,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00530121
1875,대손상각비(환입),디에스케이,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00530121
1876,지분법이익(손실),뉴보텍,코스닥시장상장법인,222,플라스틱제품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1877,      기타포괄손익-공정가치측정지분상품평가손익,KNN,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax
1878,관계기업투자손익,KSS해운,유가증권시장상장법인,501,해상 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1879,관계기업투자손익,KSS해운,유가증권시장상장법인,501,해상 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1880,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1881,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1882,   지배기업의 소유주지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ProfitLossAttributableToOwnersOfParent
1883,   지배기업의 소유주지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ProfitLossAttributableToOwnersOfParent
1884,      기타포괄손익-공정가치측정 금융자산 평가손실,SK디스커버리,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments
1885,      기타포괄손익-공정가치금융자산처분손익,디오스텍,코스닥시장상장법인,273,사진장비 및 광학기기 제조업,12,2020-03-31,1분기보고서,KRW,entity01031502
1886,      기타포괄손익-공정가치금융자산처분이익,디오스텍,코스닥시장상장법인,273,사진장비 및 광학기기 제조업,12,2020-03-31,1분기보고서,KRW,entity01031502
1887,      기타포괄손익-공정가치금융자산평가손익,CSA 코스믹,코스닥시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments
1888,      해외사업장환산손익,KG동부제철,유가증권시장상장법인,241,1차 철강 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnHedgesOfNetInvestmentsInForeignOperationsNetOfTax
1889,법인세비용(수익),3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_IncomeTaxExpenseContinuingOperations
1890,관계기업투자손익,KSS해운,유가증권시장상장법인,501,해상 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1891,   금융수익,JW생명과학,유가증권시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialIncome
1892,   금융원가,에스엔유,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,dart_GainsOnForeignExchangeTranslationsFinancialIncome
1893,   기타손실,정상제이엘에스,코스닥시장상장법인,855,일반 교습 학원,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousLosses
1894,   기타영업외비용,대한제분,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialExpenses
1895,   기타영업외수익,대한제분,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialIncome
1896,   기타이익,정상제이엘에스,코스닥시장상장법인,855,일반 교습 학원,12,2020-03-31,1분기보고서,KRW,dart_MiscellaneousIncome
1897,금융손익,JW생명과학,유가증권시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome
1898,기타영업외손익,디앤씨미디어,코스닥시장상장법인,581,"서적, 잡지 및 기타 인쇄물 출판업",12,2020-03-31,1분기보고서,KRW,dart_OtherGains
1899,기타영엽외손익,디와이피엔에프,코스닥시장상장법인,291,일반 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00602136
1900,지분법손익,KTis,유가증권시장상장법인,639,기타 정보 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1901,   일반관리비,삼원테크,코스닥시장상장법인,259,기타 금속 가공제품 제조업,12,2020-03-31,1분기보고서,KRW,dart_AdvertisingExpenses
1902,   지배기업 소유주지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
1903,   판매비,KCI,코스닥시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,dart_SalesPromotionExpenses
1904,지분법손실,세원셀론텍,유가증권시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1905,경상개발비,디지아이,코스닥시장상장법인,263,컴퓨터 및 주변장치 제조업,12,2020-03-31,1분기보고서,KRW,entity00295547
1906,관리비,고려산업,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses
1907,      공정가치측정금융자산의평가손익,디지탈옵틱,코스닥시장상장법인,273,사진장비 및 광학기기 제조업,12,2020-03-31,1분기보고서,KRW,entity00536329
1908,관계기업투자손익,KSS해운,유가증권시장상장법인,501,해상 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1909,      부의지분법자본변동,삼화전기,유가증권시장상장법인,262,전자부품 제조업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax
1910,      해외사업환산손익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax
1911,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1912,   지배기업주주지분,STX,유가증권시장상장법인,468,상품 종합 도매업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
1913,   확정급여제도의 재측정요소,디지털대성,코스닥시장상장법인,855,일반 교습 학원,12,2020-03-31,1분기보고서,KRW,entity00398808
1914,공동기업투자손익,디지털대성,코스닥시장상장법인,855,일반 교습 학원,12,2020-03-31,1분기보고서,KRW,entity00398808
1915,비지배지분,디지털대성,코스닥시장상장법인,855,일반 교습 학원,12,2020-03-31,1분기보고서,KRW,entity00398808
1916,지배기업주주지분,디지털대성,코스닥시장상장법인,855,일반 교습 학원,12,2020-03-31,1분기보고서,KRW,entity00398808
1917,   기타영업외비용,대한제분,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialExpenses
1918,   기타영업외수익,대한제분,유가증권시장상장법인,106,"곡물가공품, 전분 및 전분제품 제조업",12,2020-03-31,1분기보고서,KRW,dart_OtherFinancialIncome
1919,   기타포괄손익-공정가치측정금융자산평가손익,디지틀조선,코스닥시장상장법인,631,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",12,2020-03-31,1분기보고서,KRW,entity00231442
1920,      공정가치측정금융자산평가손실,디케이디앤아이,코스닥시장상장법인,259,기타 금속 가공제품 제조업,12,2020-03-31,1분기보고서,KRW,entity00143226
1921,관계기업지분에대한이익,디케이앤디,코스닥시장상장법인,222,플라스틱제품 제조업,12,2020-03-31,1분기보고서,KRW,entity00892526
1922,대손상각비,디케이앤디,코스닥시장상장법인,222,플라스틱제품 제조업,12,2020-03-31,1분기보고서,KRW,entity00892526
1923,      기타포괄손익-공정가치측정금융자산평가손익,DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments
1924,      해외사업환산손익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax
1925,지분법이익(손실),뉴보텍,코스닥시장상장법인,222,플라스틱제품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1926,   금융보증비용환입,디피씨,유가증권시장상장법인,281,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",12,2020-03-31,1분기보고서,KRW,entity00117498
1927,연구개발비,딜리,코스닥시장상장법인,263,컴퓨터 및 주변장치 제조업,12,2020-03-31,1분기보고서,KRW,entity00629212
1928,      기타포괄손익-공정가치 금융자산 평가손익,대성엘텍,코스닥시장상장법인,265,영상 및 음향기기 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments
1929,대손상각비,라온피플,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,12,2020-03-31,1분기보고서,KRW,entity01251489
1930,지분법손익,KTis,유가증권시장상장법인,639,기타 정보 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1931,      기타포괄손익-공정가치측정금융자산처분이익,휴맥스,코스닥시장상장법인,265,영상 및 음향기기 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments
1932,      기타포괄손익-공정가치 측정 금융자산 평가손익(세후기타포괄손익),BYC,유가증권시장상장법인,141,봉제의복 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax
1933,지분법손익,KTis,유가증권시장상장법인,639,기타 정보 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1934,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1935,   지배기업 소유주지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
1936,관계기업 투자지분평가손실,러셀,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity01068348
1937,   매출원가,동남합성,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,dart_CostOfSalesFromSaleOfGoods
1938,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1939,   비지배지분에 귀속되는 당기 순이익,레고켐바이오,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,12,2020-03-31,1분기보고서,KRW,entity00842619
1940,   연구개발비,대웅,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_OrdinaryDevelopmentExpense
1941,   지배기업의 소유주에게 귀속되는 당기순이익,S&T모티브,유가증권시장상장법인,303,자동차 신품 부품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossAttributableToOwnersOfParent
1942,   지배기업의 소유주에게 귀속되는 지분,DB하이텍,유가증권시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
1943,   판매비와일반관리비,레고켐바이오,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,12,2020-03-31,1분기보고서,KRW,entity00842619
1944,리스이자수익,레고켐바이오,코스닥시장상장법인,701,자연과학 및 공학 연구개발업,12,2020-03-31,1분기보고서,KRW,entity00842619
1945,금융비용,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_FinanceCosts
1946,기타영업외비용,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,dart_OtherLosses
1947,기타영업외수익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains
1948,지분법손실,세원셀론텍,유가증권시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1949,      기타포괄손익-공정가치 측정 금융자산 평가손익,경농,유가증권시장상장법인,203,"비료, 농약 및 살균, 살충제 제조업",12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation
1950,지분법손익,KTis,유가증권시장상장법인,639,기타 정보 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1951,기타영업외비용,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,dart_OtherLosses
1952,기타영업외수익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains
1953,지분법손익,KTis,유가증권시장상장법인,639,기타 정보 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1954,      기타포괄손익-공정가치금융자산평가손익,CSA 코스믹,코스닥시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments
1955,지분법손실,세원셀론텍,유가증권시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1956,지분법이익,남화산업,코스닥시장상장법인,911,스포츠 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1957,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1958,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1959,   지배기업 소유주지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
1960,   지배기업 소유주지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent
1961,지분법손익,KTis,유가증권시장상장법인,639,기타 정보 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1962,관계기업투자이익(손실),루미마이크로,코스닥시장상장법인,261,반도체 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1963,기타비용,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses
1964,기타수익,AJ네트웍스,유가증권시장상장법인,763,산업용 기계 및 장비 임대업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains
1965,해외사업환산손익,로스웰,코스닥시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,CNY,entity01139266
1966,      기타포괄손익-공정가치 지분상품 평가손익,LG유플러스,유가증권시장상장법인,612,전기 통신업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax
1967,   당기손익으로 재분류되지 않는 항목의 법인세,로체시스템즈,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00363486
1968,   판매비,KCI,코스닥시장상장법인,204,기타 화학제품 제조업,12,2020-03-31,1분기보고서,KRW,dart_SalesPromotionExpenses
1969,   해외사업장환산외환차이,로체시스템즈,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00363486
1970,   확정급여제도의 재측정요소,로체시스템즈,코스닥시장상장법인,292,특수 목적용 기계 제조업,12,2020-03-31,1분기보고서,KRW,entity00363486
1971,   판매일반관리비,롯데관광개발,유가증권시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2020-03-31,1분기보고서,KRW,entity00231372
1972,관계기업투자손익,KSS해운,유가증권시장상장법인,501,해상 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
1973,      계속영업분기순이익,롯데쇼핑,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity00120526
1974,      계속영업분기순이익(손실),롯데쇼핑,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity00120526
1975,      중단영업분기순이익(손실),롯데쇼핑,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity00120526
1976,관계기업투자 손익에 대한 지분,롯데쇼핑,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity00120526
1977,금융수익-유효이자율법에 따른 이자수익,KPX케미칼,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceIncome
1978,기타의 대손상각비,롯데쇼핑,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity00120526
1979,기타의대손상각비,롯데쇼핑,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity00120526
1980,대손상각비,롯데쇼핑,유가증권시장상장법인,471,종합 소매업,12,2020-03-31,1분기보고서,KRW,entity00120526
1981,법인세비용차감전이익,강원랜드,유가증권시장상장법인,912,유원지 및 기타 오락관련 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossBeforeTax
1982,공동기업투자이익,롯데정밀화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00157681
1983,물류비,롯데정밀화학,유가증권시장상장법인,201,기초 화학물질 제조업,12,2020-03-31,1분기보고서,KRW,entity00157681
1984,      기타포괄손익-공정가치측정금융자산평가손익,DSR,유가증권시장상장법인,242,1차 비철금속 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments
1985,대손상각비(대손충당금환입),롯데정보통신,유가증권시장상장법인,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12,2020-03-31,1분기보고서,KRW,entity01262032
1986,   기본 및 희석주당순이익,롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_DilutedEarningsLossPerShare
1987,   기타포괄손익-공정가치 채무상품 처분손익,롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
1988,   기타포괄손익-공정가치 채무상품 평가손익 (보유분관련),롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
1989,   기타포괄손익-공정가치 채무상품 평가손익(보유분관련),롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
1990,   기타포괄손익-공정가치 채무상품 평가손익(손익대체),롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
1991,   대손상각비,HDC,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,dart_BadDebtExpenses
1992,   대손상각비환입,롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
1993,   법인세 효과,롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
1994,   법인세 효과.,롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
1995,   법인세효과,롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
1996,   법인세효과.,롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
1997,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1998,   비지배지분,3S,코스닥시장상장법인,292,특수 목적용 기계 제조업,3,2020-06-30,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests
1999,   순확정급여부채의 재측정요소,롯데제과,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity01258507
